ID Number,Broadcast Date,Name,Education,Gender,Age,Stop Round,Amount Won,ROUND,Deal / No Deal,Bank Offer,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.10,0.25,0.50,0.75,1.00,2.50,5.00,7.50,10,20,30,40,50,100,250,500
EXP1.001,-,-,-,-,-,4,34.90,1,ND,2.90,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
EXP1.001,-,-,-,-,-,4,34.90,2,ND,4.70,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0
EXP1.001,-,-,-,-,-,4,34.90,3,ND,9.90,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0
EXP1.001,-,-,-,-,-,4,34.90,4,D,34.90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0
EXP1.002,-,-,-,-,-,4,15.10,1,ND,3.80,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
EXP1.002,-,-,-,-,-,4,15.10,2,ND,11.85,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1
EXP1.002,-,-,-,-,-,4,15.10,3,ND,17.70,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0
EXP1.002,-,-,-,-,-,4,15.10,4,D,15.10,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
EXP1.003,-,-,-,-,-,8,17.50,1,ND,2.85,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
EXP1.003,-,-,-,-,-,8,17.50,2,ND,8.80,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1
EXP1.003,-,-,-,-,-,8,17.50,3,ND,17.30,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
EXP1.003,-,-,-,-,-,8,17.50,4,ND,7.00,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
EXP1.003,-,-,-,-,-,8,17.50,5,ND,12.00,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
EXP1.003,-,-,-,-,-,8,17.50,6,ND,14.00,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
EXP1.003,-,-,-,-,-,8,17.50,7,ND,19.10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
EXP1.003,-,-,-,-,-,8,17.50,8,D,17.50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
EXP1.004,-,-,-,-,-,8,11.25,1,ND,3.20,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
EXP1.004,-,-,-,-,-,8,11.25,2,ND,14.10,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1
EXP1.004,-,-,-,-,-,8,11.25,3,ND,21.20,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
EXP1.004,-,-,-,-,-,8,11.25,4,ND,4.80,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
EXP1.004,-,-,-,-,-,8,11.25,5,ND,7.60,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
EXP1.004,-,-,-,-,-,8,11.25,6,ND,6.15,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
EXP1.004,-,-,-,-,-,8,11.25,7,ND,8.10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
EXP1.004,-,-,-,-,-,8,11.25,8,D,11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
EXP1.005,-,-,-,-,-,4,38.00,1,ND,3.30,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
EXP1.005,-,-,-,-,-,4,38.00,2,ND,7.00,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1
EXP1.005,-,-,-,-,-,4,38.00,3,ND,24.40,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
EXP1.005,-,-,-,-,-,4,38.00,4,D,38.00,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
EXP1.006,-,-,-,-,-,5,20.20,1,ND,1.90,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
EXP1.006,-,-,-,-,-,5,20.20,2,ND,5.90,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0
EXP1.006,-,-,-,-,-,5,20.20,3,ND,8.90,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
